district,year,total_enrollment,grade_3k,grade_pk_(half_day_&_full_day),grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,num_female,pct_female,num_male,pct_male,num_asian,pct_asian,num_black,pct_black,num_hispanic,pct_hispanic,num_multi-racial,pct_multi-racial,num_native_american,pct_native_american,num_white,pct_white,num_missing_race/ethnicity_data,pct_missing_race/ethnicity_data,num_students_with_disabilities,pct_students_with_disabilities,num_english_language_learners,pct_english_language_learners,num_poverty,pct_poverty,economic_need_index
13,2018,21658,0,1261,1131,1126,1076,1123,1082,1098,733,691,622,3051,3152,2762,2750,10196,0.470772922039032,11460,0.5291347503662109,4425,0.2043124884366989,9493,0.4383137822151184,3582,0.16538923978805542,398,0.018376581370830536,149,0.006879674736410379,3495,0.16137224435806274,116,0.0053559886291623116,3111,0.14364206790924072,940,0.04340197518467903,14484,0.668759822845459,0.6316976547241211
13,2019,21772,0,1311,1158,1155,1089,1024,1101,1026,710,697,688,2974,3079,2881,2879,10198,0.4683997929096222,11573,0.5315542817115784,4468,0.20521770417690277,9118,0.41879478096961975,3700,0.16994304955005646,486,0.02232224866747856,157,0.007211097050458193,3718,0.1707697957754135,125,0.00574131915345788,3171,0.14564578235149384,905,0.04156715050339699,14106,0.647896409034729,0.6169595718383789
13,2020,21437,113,1297,1068,1147,1115,1048,997,1064,695,678,687,3021,2964,2787,2756,10068,0.46965527534484863,11369,0.5303447246551514,4493,0.20959089696407318,8589,0.4006623923778534,3600,0.16793394088745117,522,0.024350421503186226,153,0.007137192878872156,3905,0.18216168880462646,175,0.008163455873727798,2973,0.1386854499578476,835,0.03895134478807449,13486,0.6290992498397827,0.6146636605262756
13,2021,20653,89,1092,1047,949,1040,1011,969,957,681,660,672,2874,3051,2818,2743,9813,0.47513678669929504,10840,0.5248632431030273,4343,0.21028421819210052,8118,0.3930663764476776,3583,0.17348569631576538,559,0.027066286653280258,167,0.008085992187261581,3637,0.17610032856464386,246,0.011911102570593357,2912,0.14099647104740143,882,0.042705658823251724,12923,0.6257202625274658,0.6066774725914001
13,2022,20269,551,994,997,963,870,956,934,896,607,615,629,2915,2781,2878,2683,9746,0.4808327853679657,10523,0.5191671848297119,4351,0.21466279029846191,7626,0.3762395679950714,3628,0.17899255454540253,581,0.02866446226835251,163,0.008041837252676487,3677,0.1814100295305252,243,0.011988751590251923,2749,0.13562583923339844,877,0.04326804354786873,12139,0.5988948345184326,0.5859142541885376
14,2018,18831,0,1435,1227,1211,1229,1213,1252,1235,1194,1141,1290,1596,1654,1469,1685,8968,0.4762359857559204,9862,0.5237109065055847,949,0.050395622849464417,3934,0.20891083776950836,10762,0.5715044140815735,184,0.00977112166583538,91,0.004832457285374403,2819,0.14969995617866516,92,0.00488556083291769,3912,0.20774255692958832,2116,0.1123679056763649,14016,0.7443045973777771,0.7626688480377197
14,2019,18510,0,1414,1192,1257,1210,1226,1224,1200,1276,1183,1134,1651,1525,1470,1548,8799,0.47536465525627136,9711,0.5246353149414062,985,0.053214479237794876,3716,0.20075634121894836,10547,0.569800078868866,191,0.010318746790289879,92,0.0049702865071594715,2890,0.1561318188905716,89,0.004808211699128151,3906,0.2110210657119751,2002,0.10815775394439697,13448,0.7265262007713318,0.7502269744873047
14,2020,18311,261,1471,1171,1147,1195,1162,1165,1165,1195,1231,1161,1662,1577,1355,1393,8863,0.4840259850025177,9448,0.5159739851951599,1028,0.056141115725040436,3545,0.19359947741031647,10124,0.552891731262207,258,0.01408989168703556,94,0.005133526399731636,3036,0.1658019721508026,226,0.012342307716608047,3770,0.20588716864585876,1808,0.09873846173286438,13259,0.7241002917289734,0.755569577217102
14,2021,17576,328,1174,1086,1053,1069,1096,1115,1105,1143,1181,1207,1643,1572,1460,1344,8442,0.48031407594680786,9134,0.5196859240531921,1050,0.05974055454134941,3452,0.19640418887138367,9532,0.5423304438591003,327,0.018604915589094162,97,0.005518889520317316,2935,0.16698907315731049,183,0.010411925613880157,3794,0.21586254239082336,1725,0.09814519435167313,12805,0.7285503149032593,0.74903404712677
14,2022,16673,635,1128,940,1004,943,952,989,1015,987,1056,1135,1623,1552,1369,1345,8050,0.48281651735305786,8623,0.5171834826469421,996,0.059737298637628555,3326,0.1994841992855072,9031,0.5416541695594788,301,0.018053140491247177,100,0.005997720640152693,2790,0.16733641922473907,129,0.007737060077488422,3535,0.2120194286108017,1661,0.09962214529514313,11587,0.6949559450149536,0.7254534363746643
